Update: 344, Reward_mean: 0.968895062509, Loss: [-0.011224629357457161]
Update: 345, Reward_mean: 0.717474375302, Loss: [0.051114365458488464]
Update: 346, Reward_mean: 0.736912402243, Loss: [0.035924449563026428]
Update: 347, Reward_mean: 0.72496781935, Loss: [0.044434063136577606]
Update: 348, Reward_mean: 0.541123618748, Loss: [0.020653463900089264]
Update: 349, Reward_mean: 0.936671206742, Loss: [0.02262423001229763]
Update: 350, Reward_mean: 0.985756898662, Loss: [0.032194577157497406]
Update: 351, Reward_mean: 1.04059102216, Loss: [0.057372625917196274]
Update: 352, Reward_mean: 0.924631667182, Loss: [-0.0040114931762218475]
Update: 353, Reward_mean: 0.952063630787, Loss: [0.026603873819112778]
Update: 354, Reward_mean: 0.702179076351, Loss: [0.04845215380191803]
Update: 355, Reward_mean: 0.666545227225, Loss: [0.066351667046546936]
Update: 356, Reward_mean: 0.81212557915, Loss: [0.053328424692153931]
Update: 357, Reward_mean: 0.490620959792, Loss: [0.066115602850914001]
Update: 358, Reward_mean: 0.647703506973, Loss: [0.094253063201904297]
Update: 359, Reward_mean: 1.03040685366, Loss: [0.040315963327884674]
Update: 360, Reward_mean: 1.08265691564, Loss: [0.064031295478343964]
Update: 361, Reward_mean: 1.27163675399, Loss: [0.10610158741474152]
Update: 362, Reward_mean: 0.932347947358, Loss: [0.006449306383728981]
Update: 363, Reward_mean: 0.908533901726, Loss: [0.11309477686882019]
Update: 364, Reward_mean: 0.838042010708, Loss: [0.092177018523216248]
Update: 365, Reward_mean: 0.858668221874, Loss: [0.027221813797950745]
Update: 366, Reward_mean: 1.14133166762, Loss: [0.11751886457204819]
Update: 367, Reward_mean: 1.05288959814, Loss: [0.050875399261713028]
Update: 368, Reward_mean: 0.821878640956, Loss: [0.014452646486461163]
Update: 369, Reward_mean: 1.0610938526, Loss: [0.029076479375362396]
Update: 370, Reward_mean: 1.12487613443, Loss: [0.051680020987987518]
Update: 371, Reward_mean: 1.16534329132, Loss: [0.065533660352230072]
Update: 372, Reward_mean: 1.1151046586, Loss: [0.077363841235637665]
Update: 373, Reward_mean: 1.13795922687, Loss: [0.11828232556581497]
Update: 374, Reward_mean: 1.16028640911, Loss: [0.12987673282623291]
Update: 375, Reward_mean: 0.877183155703, Loss: [0.18503451347351074]
Update: 376, Reward_mean: 1.22667395073, Loss: [0.045580364763736725]
Update: 377, Reward_mean: 0.947359307805, Loss: [0.05300486832857132]
Update: 378, Reward_mean: 0.839893141775, Loss: [0.050744522362947464]
Update: 379, Reward_mean: 0.860664560235, Loss: [-0.025493472814559937]
Update: 380, Reward_mean: 1.45608926201, Loss: [0.003530062735080719]
Update: 381, Reward_mean: 1.10711976071, Loss: [0.044114589691162109]
Update: 382, Reward_mean: 1.36589470767, Loss: [0.036034185439348221]
Update: 383, Reward_mean: 1.08685004588, Loss: [0.046622626483440399]
Update: 384, Reward_mean: 0.952528926466, Loss: [0.066885262727737427]
Update: 385, Reward_mean: 0.646034765513, Loss: [0.063078507781028748]
